,precision,recall,f1-score,support
0,0.7596153846153846,0.8404255319148937,0.7979797979797979,94.0
1,0.8271604938271605,0.7052631578947368,0.7613636363636362,95.0
2,0.9325842696629213,0.8829787234042553,0.907103825136612,94.0
3,0.9081632653061225,0.9368421052631579,0.922279792746114,95.0
4,0.86,0.9148936170212766,0.8865979381443299,94.0
accuracy,0.8559322033898306,0.8559322033898306,0.8559322033898306,0.8559322033898306
macro avg,0.8575046826823177,0.8560806270996641,0.8550649980740982,472.0
weighted avg,0.8575477216521666,0.8559322033898306,0.8550088824659657,472.0
