,precision,recall,f1-score,support
0,0.4852941176470588,0.35106382978723405,0.40740740740740744,94.0
1,0.328125,0.22105263157894736,0.2641509433962264,95.0
2,0.22077922077922077,0.723404255319149,0.3383084577114428,94.0
3,0.15625,0.05263157894736842,0.07874015748031496,95.0
4,0.0,0.0,0.0,94.0
accuracy,0.2690677966101695,0.2690677966101695,0.2690677966101695,0.2690677966101695
macro avg,0.2380896676852559,0.26963045912653977,0.21772139319907832,472.0
weighted avg,0.23810703138150485,0.2690677966101695,0.21752530911958337,472.0
