,precision,recall,f1-score,support
0,0.5178571428571429,0.925531914893617,0.6641221374045801,94.0
1,0.7424242424242424,0.5157894736842106,0.6086956521739131,95.0
2,0.8493150684931506,0.6595744680851063,0.7425149700598802,94.0
3,0.6931818181818182,0.6421052631578947,0.6666666666666667,95.0
4,1.0,0.8191489361702128,0.9005847953216375,94.0
accuracy,0.711864406779661,0.711864406779661,0.711864406779661,0.711864406779661
macro avg,0.7605556543912708,0.7124300111982083,0.7165168443253356,472.0
weighted avg,0.7603744992044563,0.711864406779661,0.716182794813026,472.0
