,precision,recall,f1-score,support
0,0.0,0.0,0.0,94.0
1,0.0,0.0,0.0,95.0
2,0.0,0.0,0.0,94.0
3,0.20127118644067796,1.0,0.3350970017636684,95.0
4,0.0,0.0,0.0,94.0
accuracy,0.20127118644067796,0.20127118644067796,0.20127118644067796,0.20127118644067796
macro avg,0.04025423728813559,0.2,0.06701940035273368,472.0
weighted avg,0.040510090491238146,0.20127118644067796,0.0674453711176875,472.0
