,precision,recall,f1-score,support
0,0.0,0.0,0.0,94.0
1,0.0,0.0,0.0,95.0
2,0.7857142857142857,0.11702127659574468,0.20370370370370372,94.0
3,0.20305676855895197,0.9789473684210527,0.33634719710669075,95.0
4,0.0,0.0,0.0,94.0
accuracy,0.22033898305084745,0.22033898305084745,0.22033898305084745,0.22033898305084745
macro avg,0.19775421085464753,0.21919372900335948,0.10801018016207889,472.0
weighted avg,0.19734647430136293,0.22033898305084745,0.10826510990102493,472.0
