,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__degree,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,1.5655274868011475,0.07038549039081156,0.04531598091125488,0.004687230278312031,10.0,2,StandardScaler(),"{'clf__C': 10.0, 'clf__degree': 2, 'scaler': StandardScaler()}",0.836864406779661,0.8771186440677966,0.8686440677966102,0.8538135593220338,0.8471337579617835,0.8386411889596603,0.832271762208068,0.8535031847133758,0.851380042462845,0.8471337579617835,0.8506504372233618,0.013190144005483686,26,0.8948609146628949,0.8962753418198963,0.8934464875058934,0.8950966525223951,0.8965354701861891,0.8974781993872261,0.8970068347867075,0.894650011784115,0.8972425170869668,0.8953570586848928,0.8957949488427177,0.0012471784130724487
1,1.932351326942444,0.07760610760597791,0.06542732715606689,0.006113911002921317,10.0,2,MinMaxScaler(),"{'clf__C': 10.0, 'clf__degree': 2, 'scaler': MinMaxScaler()}",0.798728813559322,0.8050847457627118,0.8135593220338984,0.7966101694915254,0.821656050955414,0.7940552016985138,0.8280254777070064,0.7961783439490446,0.8089171974522293,0.7961783439490446,0.8058993666558711,0.011283929017899319,30,0.8215464403583216,0.8165959453088166,0.8201320132013201,0.8210749646393211,0.8310157907141174,0.8197030403016733,0.8180532641998586,0.8180532641998586,0.8201744049021918,0.8215884987037474,0.8207937626529226,0.0037472735016844372
2,1.6227690696716308,0.03524798327563982,0.04531419277191162,0.004689018246540307,10.0,3,StandardScaler(),"{'clf__C': 10.0, 'clf__degree': 3, 'scaler': StandardScaler()}",0.875,0.885593220338983,0.8728813559322034,0.8432203389830508,0.861995753715499,0.8598726114649682,0.8407643312101911,0.861995753715499,0.8683651804670913,0.8407643312101911,0.8610452877037676,0.014610111099622977,23,0.9016973125884017,0.8993399339933993,0.8998114097123998,0.8998114097123998,0.9014847984916333,0.9010134338911148,0.9028988922931888,0.9000707046900778,0.9014847984916333,0.9017204807918925,0.9009333174656142,0.0010715318960217628
3,1.813265824317932,0.054865616706082886,0.05312848091125488,0.007655220108137204,10.0,3,MinMaxScaler(),"{'clf__C': 10.0, 'clf__degree': 3, 'scaler': MinMaxScaler()}",0.8283898305084746,0.8516949152542372,0.875,0.8580508474576272,0.8598726114649682,0.8386411889596603,0.8492569002123143,0.8365180467091295,0.8343949044585988,0.8343949044585988,0.8466214149483609,0.013933356592646464,27,0.8755304101838756,0.8712871287128713,0.871994342291372,0.8748231966053748,0.8765024746641528,0.87108178175819,0.8739099693613009,0.8717888286589677,0.8722601932594862,0.872024510959227,0.8731202836454818,0.0018239621326679887
4,2.0018596410751344,0.13711090171325857,0.05830769538879395,0.006534854256134113,10.0,4,StandardScaler(),"{'clf__C': 10.0, 'clf__degree': 4, 'scaler': StandardScaler()}",0.8495762711864406,0.8601694915254238,0.8432203389830508,0.815677966101695,0.8343949044585988,0.8131634819532909,0.8110403397027601,0.8386411889596603,0.8365180467091295,0.8407643312101911,0.8343166360790241,0.015434608221646183,29,0.8795379537953796,0.8804809052333805,0.8762376237623762,0.879066478076379,0.8790949799670045,0.8757954277633749,0.883337261371671,0.8776808861654489,0.8776808861654489,0.8793306622672638,0.8788243064567729,0.0020612747262263955
5,1.6430938720703125,0.04241704562641582,0.04537465572357178,0.004829345447097586,10.0,4,MinMaxScaler(),"{'clf__C': 10.0, 'clf__degree': 4, 'scaler': MinMaxScaler()}",0.8601694915254238,0.8813559322033898,0.8983050847457628,0.8686440677966102,0.89171974522293,0.8598726114649682,0.8704883227176221,0.8768577494692145,0.8598726114649682,0.8535031847133758,0.8720788801324264,0.014077224416481241,19,0.9033474776049033,0.8986327204148986,0.8995756718528995,0.8979255068363979,0.9153900542069291,0.9024275276926703,0.9038416214942258,0.9005420692905963,0.901249116191374,0.9028988922931888,0.9025830657878083,0.004675454728672078
6,1.291239857673645,0.04393616681412532,0.04233856201171875,0.0072703512462074715,31.622776,2,StandardScaler(),"{'clf__C': 31.622776, 'clf__degree': 2, 'scaler': StandardScaler()}",0.8665254237288136,0.8771186440677966,0.8919491525423728,0.8940677966101694,0.8747346072186837,0.8471337579617835,0.8556263269639066,0.8535031847133758,0.8768577494692145,0.8683651804670913,0.8705881823743209,0.014812300982201263,21,0.9266855256954267,0.9280999528524281,0.9259783121169259,0.9292786421499293,0.9307094037237803,0.9300023568230026,0.9304737214235211,0.9297666745227433,0.9297666745227433,0.9290596276219656,0.9289820891452466,0.0015049809807510441
7,1.662200403213501,0.07033988150072669,0.04644460678100586,0.0071085047770125896,31.622776,2,MinMaxScaler(),"{'clf__C': 31.622776, 'clf__degree': 2, 'scaler': MinMaxScaler()}",0.8135593220338984,0.8411016949152542,0.8559322033898306,0.8389830508474576,0.8577494692144374,0.8280254777070064,0.8365180467091295,0.8386411889596603,0.8174097664543525,0.821656050955414,0.834957627118644,0.014213231710560827,28,0.8637435172088638,0.85997171145686,0.855964167845356,0.8616218764733616,0.864482677350931,0.8588263021447089,0.8583549375441905,0.8555267499410795,0.8576478906434126,0.8592976667452275,0.8595437497353992,0.002847197791827387
8,1.1760467290878296,0.05969829000636031,0.03750183582305908,0.007654957212003476,31.622776,3,StandardScaler(),"{'clf__C': 31.622776, 'clf__degree': 3, 'scaler': StandardScaler()}",0.902542372881356,0.902542372881356,0.9067796610169492,0.8792372881355932,0.8874734607218684,0.8938428874734607,0.8895966029723992,0.8853503184713376,0.9023354564755839,0.8874734607218684,0.8937173881751772,0.008805145180988717,9,0.9448373408769448,0.9457802923149458,0.9467232437529467,0.9434229137199435,0.9434362479377799,0.9432005656375206,0.9417864718359651,0.9439076125382984,0.9457930709403723,0.9446146594390761,0.9443502418993793,0.001408937024480539
9,1.6407013893127442,0.05603146854254102,0.04062786102294922,0.007654704154616688,31.622776,3,MinMaxScaler(),"{'clf__C': 31.622776, 'clf__degree': 3, 'scaler': MinMaxScaler()}",0.847457627118644,0.8728813559322034,0.8898305084745762,0.8665254237288136,0.8874734607218684,0.851380042462845,0.8683651804670913,0.8641188959660298,0.8683651804670913,0.8471337579617835,0.8663531433300946,0.014154890411972498,22,0.9002828854314003,0.8958038661008958,0.8965110796793965,0.8967468175388967,0.9111477728022626,0.900306386990337,0.8993636577893,0.8998350223898185,0.9000707046900778,0.8991279754890408,0.8999196168901425,0.004073610154547948
