,precision,recall,f1-score,support
0,0.5838926174496645,0.925531914893617,0.7160493827160493,94.0
1,0.8805970149253731,0.6210526315789474,0.7283950617283951,95.0
2,0.8351648351648352,0.8085106382978723,0.8216216216216216,94.0
3,0.9090909090909091,0.7368421052631579,0.813953488372093,95.0
4,0.9659090909090909,0.9042553191489362,0.9340659340659342,94.0
accuracy,0.798728813559322,0.798728813559322,0.798728813559322,0.798728813559322
macro avg,0.8349308935079746,0.7992385218365061,0.8028170977008185,472.0
weighted avg,0.8351847624422973,0.798728813559322,0.8026830179438248,472.0
