,precision,recall,f1-score,support
0,0.0,0.0,0.0,94.0
1,0.0,0.0,0.0,95.0
2,0.3205574912891986,0.9787234042553191,0.48293963254593175,94.0
3,0.12345679012345678,0.10526315789473684,0.11363636363636363,95.0
4,0.6699029126213593,0.7340425531914894,0.7005076142131981,94.0
accuracy,0.3622881355932203,0.3622881355932203,0.3622881355932203,0.3622881355932203
macro avg,0.22278343880680293,0.3636058230683091,0.2594167220790987,472.0
weighted avg,0.22210100218076445,0.3622881355932203,0.2585582536881626,472.0
