,precision,recall,f1-score,support
0,0.3877551020408163,0.8085106382978723,0.5241379310344828,94.0
1,0.6790123456790124,0.5789473684210527,0.6250000000000001,95.0
2,0.925,0.39361702127659576,0.5522388059701493,94.0
3,0.7432432432432432,0.5789473684210527,0.650887573964497,95.0
4,0.9753086419753086,0.8404255319148937,0.9028571428571429,94.0
accuracy,0.6398305084745762,0.6398305084745762,0.6398305084745762,0.6398305084745762
macro avg,0.7420638665876761,0.6400895856662934,0.6510242907652545,472.0
weighted avg,0.7419327815362924,0.6398305084745762,0.6509688649017671,472.0
