,precision,recall,f1-score,support
0,0.3855421686746988,0.3404255319148936,0.3615819209039548,94.0
1,0.4074074074074074,0.3473684210526316,0.37500000000000006,95.0
2,0.7019230769230769,0.776595744680851,0.7373737373737373,94.0
3,0.43243243243243246,0.5052631578947369,0.4660194174757282,95.0
4,0.8064516129032258,0.7978723404255319,0.8021390374331551,94.0
accuracy,0.5529661016949152,0.5529661016949152,0.5529661016949152,0.5529661016949152
macro avg,0.5467513396681682,0.553505039193729,0.548422822637315,472.0
weighted avg,0.5462139183980486,0.5529661016949152,0.5478808179174022,472.0
