,precision,recall,f1-score,support
0,0.27586206896551724,0.5106382978723404,0.35820895522388063,94.0
1,0.4230769230769231,0.23157894736842105,0.29931972789115646,95.0
2,0.5217391304347826,0.1276595744680851,0.2051282051282051,94.0
3,0.0,0.0,0.0,95.0
4,0.3811659192825112,0.9042553191489362,0.5362776025236593,94.0
accuracy,0.3538135593220339,0.3538135593220339,0.3538135593220339,0.3538135593220339
macro avg,0.3203688083519468,0.35482642777155654,0.2797868981533803,472.0
weighted avg,0.31990766281460153,0.3538135593220339,0.27923551241521166,472.0
