,precision,recall,f1-score,support
0,0.5492957746478874,0.8297872340425532,0.6610169491525424,94.0
1,0.6301369863013698,0.4842105263157895,0.5476190476190476,95.0
2,0.7685185185185185,0.8829787234042553,0.8217821782178217,94.0
3,0.6190476190476191,0.4105263157894737,0.4936708860759494,95.0
4,0.9418604651162791,0.8617021276595744,0.8999999999999999,94.0
accuracy,0.6927966101694916,0.6927966101694916,0.6927966101694916,0.6927966101694916
macro avg,0.7017718727263348,0.6938409854423291,0.6848178122130721,472.0
weighted avg,0.7014448406498439,0.6927966101694916,0.6841221645632181,472.0
