,precision,recall,f1-score,support
0,0.10256410256410256,0.0425531914893617,0.06015037593984962,94.0
1,0.0,0.0,0.0,95.0
2,0.0,0.0,0.0,94.0
3,0.0,0.0,0.0,95.0
4,0.18475750577367206,0.851063829787234,0.3036053130929791,94.0
accuracy,0.17796610169491525,0.17796610169491525,0.17796610169491525,0.17796610169491525
macro avg,0.05746432166755493,0.17872340425531913,0.07275113780656575,472.0
weighted avg,0.057220828779133086,0.17796610169491525,0.07244287027348709,472.0
