,precision,recall,f1-score,support
0,0.8367346938775511,0.8723404255319149,0.8541666666666667,94.0
1,0.8666666666666667,0.8210526315789474,0.8432432432432433,95.0
2,0.9764705882352941,0.8829787234042553,0.9273743016759776,94.0
3,0.9473684210526315,0.9473684210526315,0.9473684210526315,95.0
4,0.875,0.9680851063829787,0.9191919191919191,94.0
accuracy,0.8983050847457628,0.8983050847457628,0.8983050847457628,0.8983050847457628
macro avg,0.9004480739664287,0.8983650615901455,0.8982689103660876,472.0
weighted avg,0.9004759107032643,0.8983050847457628,0.8982563549499091,472.0
