,precision,recall,f1-score,support
0,0.5695364238410596,0.9148936170212766,0.7020408163265306,94.0
1,0.7,0.6631578947368421,0.681081081081081,95.0
2,0.9696969696969697,0.6808510638297872,0.7999999999999999,94.0
3,0.8701298701298701,0.7052631578947368,0.7790697674418604,95.0
4,0.9318181818181818,0.8723404255319149,0.9010989010989012,94.0
accuracy,0.7669491525423728,0.7669491525423728,0.7669491525423728,0.7669491525423728
macro avg,0.8082362890972161,0.7673012318029115,0.7726581131896747,472.0
weighted avg,0.8081381053936896,0.7669491525423728,0.7724776780670976,472.0
