,precision,recall,f1-score,support
0,0.0,0.0,0.0,94.0
1,0.43636363636363634,0.25263157894736843,0.31999999999999995,95.0
2,0.7142857142857143,0.1595744680851064,0.2608695652173913,94.0
3,0.375,0.06315789473684211,0.10810810810810811,95.0
4,0.24736842105263157,1.0,0.3966244725738396,94.0
accuracy,0.2944915254237288,0.2944915254237288,0.2944915254237288,0.2944915254237288
macro avg,0.3546035543403964,0.2950727883538634,0.2171204291798678,472.0
weighted avg,0.3548199876617584,0.2944915254237288,0.21710743606492788,472.0
