,precision,recall,f1-score,support
0,0.5960264900662252,0.9574468085106383,0.7346938775510204,94.0
1,0.8873239436619719,0.6631578947368421,0.7590361445783133,95.0
2,0.9672131147540983,0.6276595744680851,0.7612903225806451,94.0
3,0.7403846153846154,0.8105263157894737,0.7738693467336684,95.0
4,0.9411764705882353,0.851063829787234,0.8938547486033519,94.0
accuracy,0.7817796610169492,0.7817796610169492,0.7817796610169492,0.7817796610169492
macro avg,0.8264249268910293,0.7819708846584545,0.7845488880093998,472.0
weighted avg,0.8263716614360812,0.7817796610169492,0.7844722094401058,472.0
